Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
138,Langston Galloway\gallola01,PG,25,NOP,44,0,21.7,3.4,8.8,.381,2.0,5.2,.382,1.4,3.6,.381,.494,0.8,1.0,.778,0.5,2.0,2.4,1.3,0.9,0.1,0.6,1.5,9.5
139,Marc Gasol\gasolma01,C,32,MEM,44,44,34.2,7.4,16.0,.460,1.3,3.5,.388,6.0,12.6,.480,.502,4.0,4.8,.822,0.8,5.2,6.0,4.2,1.1,1.4,2.1,2.3,20.1
140,Pau Gasol\gasolpa01,C,36,SAS,39,39,26.4,4.8,9.4,.510,0.5,1.1,.465,4.3,8.3,.516,.537,1.7,2.6,.644,1.5,6.4,7.9,2.7,0.4,1.2,1.3,1.7,11.7
141,Rudy Gay\gayru01,SF,30,SAC,30,30,33.8,6.7,14.7,.455,1.4,3.8,.372,5.3,11.0,.483,.502,3.9,4.6,.855,1.2,5.2,6.3,2.7,1.5,0.9,2.5,2.6,18.7
142,Michael Gbinije\gbinimi01,SG,24,DET,8,0,3.6,0.1,1.3,.100,0.0,0.5,.000,0.1,0.8,.167,.100,0.3,0.3,1.000,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.3,0.5
143,Alonzo Gee\geeal01,SF,29,DEN,13,0,6.8,0.2,1.1,.214,0.0,0.2,.000,0.2,0.8,.273,.214,0.4,0.7,.556,0.3,0.8,1.1,0.5,0.4,0.1,0.3,1.1,0.8
144,Paul George\georgpa01,SF,26,IND,37,37,35.4,7.7,17.1,.450,2.4,6.1,.388,5.4,11.1,.484,.519,4.4,4.8,.926,0.8,5.2,6.0,3.2,1.7,0.3,2.8,2.6,22.2
145,Jonathan Gibson\gibsojo01,PG,29,DAL,17,0,13.6,2.1,5.6,.368,0.9,2.6,.333,1.2,2.9,.400,.447,1.2,1.7,.724,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,6.2
146,Taj Gibson\gibsota01,PF,31,CHI,44,44,27.5,5.1,9.9,.518,0.0,0.1,.167,5.1,9.8,.523,.519,1.5,2.1,.714,2.3,4.8,7.1,1.1,0.6,1.0,1.5,2.3,11.8
147,Manu Ginobili\ginobma01,SG,39,SAS,37,0,19.1,2.5,6.7,.381,1.4,3.5,.398,1.2,3.2,.361,.484,1.6,1.8,.892,0.4,2.2,2.5,2.5,1.2,0.3,1.4,1.7,8.0
148,Rudy Gobert\goberru01,C,24,UTA,46,46,33.6,4.5,6.8,.668,0.0,0.0,.000,4.5,6.8,.670,.668,3.8,5.9,.644,3.8,8.9,12.6,0.9,0.7,2.5,1.8,2.9,12.9
149,Archie Goodwin\goodwar01,SG,22,NOP,3,0,10.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,3.3,3.3,1.000,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0
150,Aaron Gordon\gordoaa01,SF,21,ORL,46,38,27.6,4.5,10.3,.439,1.1,3.6,.303,3.4,6.7,.511,.492,1.4,2.3,.617,1.2,3.5,4.7,2.0,0.8,0.4,1.1,2.1,11.5
151,Eric Gordon\gordoer01,SG,28,HOU,46,8,30.5,6.0,14.2,.421,3.6,9.2,.392,2.4,5.0,.474,.548,1.8,2.2,.850,0.3,2.4,2.7,2.8,0.6,0.5,1.8,2.0,17.4
152,Marcin Gortat\gortama01,C,32,WAS,44,44,34.9,5.0,8.6,.578,0.0,0.0,.000,5.0,8.5,.580,.578,1.3,2.1,.626,3.1,8.3,11.4,1.6,0.5,1.0,1.7,3.0,11.2
153,Treveon Graham\grahatr01,SG,23,CHO,14,1,6.1,0.4,0.9,.500,0.3,0.4,.667,0.1,0.4,.333,.667,0.4,0.6,.625,0.1,0.7,0.8,0.4,0.1,0.0,0.1,0.9,1.5
